172.28.0.1 - - [18/Mar/2024:09:10:31 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [18/Mar/2024:09:11:27 +0000] "GET /1/list HTTP/1.1" 200 2505 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:09:11:36 +0000] "GET /1/list HTTP/1.1" 200 2499 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:09:12:28 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [18/Mar/2024:09:19:28 +0000] "GET /1/list HTTP/1.1" 200 2498 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:09:19:29 +0000] "GET /1/list HTTP/1.1" 200 2488 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:09:19:32 +0000] "GET /1/list HTTP/1.1" 200 2492 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:09:20:20 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [18/Mar/2024:09:42:56 +0000] "GET /1/list HTTP/1.1" 200 2499 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [18/Mar/2024:09:43:28 +0000] "GET /1/list HTTP/1.1" 200 2488 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
